Draft_Yr,Pk,Tm,Player,College,seasons,Field_Goal_Percentage ,3points_Field_Goal_Percentage ,Free_Throw_Percentage,Minutes_Played_Per_Game,Points_Per_Game ,Total_Rebounds_per_Game ,Assist_Per_Game ,WS,WS/48,BPM,VORP
1971,45,DET,Marv Roberts,Utah State University,1,0.355,,0.667,7.5,2.1,0.9,0.7,-0.2,-0.051,-8.1,-0.3
1971,46,PHI,Dave Wohl,University of Pennsylvania,7,0.43,,0.75,19.9,6.2,1.4,3.4,6.1,0.036,-4.3,-2.7
1971,47,CHI,Mike Gale,Elizabeth City State University,6,0.474,0.16,0.825,24.7,7.4,2.5,4.3,18,0.077,0.3,6.6
1971,48,PHO,Mo Layton,University of Southern California,4,0.448,,0.747,16.8,6.9,1.3,2.6,4.5,0.048,-4.3,-0.9
1971,49,CHI,Dick Gibbs,University of Texas at El Paso,5,0.402,,0.799,12.9,5.2,1.9,0.8,2.6,0.029,-4.8,-2
1971,50,NYK,Ken Mayfield,Tuskegee University,1,0.37,,1,4.9,2.8,0.6,0.3,-0.2,-0.134,-12.2,-0.2
1971,55,CIN,Sid Catlett,University of Notre Dame,1,0.222,,0.222,4.4,0.7,0.4,0.1,-0.2,-0.197,,
1971,58,HOU,Tom Owens,University of South Carolina,7,0.508,0.25,0.764,23.5,11.5,6.2,2,32.9,0.138,1.1,8.8
1971,61,BOS,Randy Denton,Duke University,1,0.402,,0.702,15.6,5.3,4.8,0.7,0.4,0.029,-4.4,-0.4
1971,64,LAL,Roger Brown,University of Kansas,2,0.389,,0.702,10.6,1.8,3,0.3,0.6,0.035,-3.1,-0.2
1971,76,GSW,Odis Allison,"University of Nevada, Las Vegas",1,0.218,,0.541,4.6,1.9,1.3,0.3,-0.6,-0.181,,
1971,85,MIL,Barry Nelson,Duquesne University,1,0.417,,0.5,3.6,1.3,0.7,0.3,0.1,0.026,,
1971,89,CIN,Gil McGregor,Wake Forest University,1,0.363,,0.696,12.7,4.1,3.5,0.4,-0.4,-0.038,,
1971,93,GSW,Charles Johnson,University of California,7,0.429,,0.756,19.1,8.1,2.5,1.9,13.4,0.064,-2,0.1
